"year","site","week","PG_count"
2012,"Limpet Lane",26,13
2012,"Limpet Lane",27,24
2012,"Limpet Lane",28,17
2012,"Limpet Lane",30,25
2012,"Limpet Lane",31,18
2012,"Limpet Lane",32,26
2012,"Limpet Lane",32,20
2012,"Malmo Bluff",26,31
2012,"Malmo Bluff",27,50
2012,"Malmo Bluff",29,25
2012,"Malmo Bluff",30,43
2012,"Malmo Bluff",31,36
2012,"Monroe Landing",28,8
2012,"Monroe Landing",30,13
2012,"Monroe Landing",32,11
2012,"Monroe Landing",33,13
2012,"Monroe Landing",34,15
2012,"Mutiny Sands",28,25
2012,"Mutiny Sands",30,31
2012,"Mutiny Sands",31,37
2012,"Mutiny Sands",34,22
2012,"Possession Point",26,28
2012,"Possession Point",27,29
2012,"Possession Point",28,20
2012,"Possession Point",29,30
2012,"Possession Point",31,18
2012,"Possession Point",31,36
2012,"Pratts Bluff",26,25
2012,"Pratts Bluff",27,24
2012,"Pratts Bluff",28,21
2012,"Pratts Bluff",29,28
2012,"Pratts Bluff",31,25
2012,"Pratts Bluff",32,14
2012,"Rolling Hills",26,61
2012,"Rolling Hills",27,55
2012,"Rolling Hills",28,88
2012,"Rolling Hills",29,53
2012,"Rolling Hills",30,69
2012,"Rolling Hills",32,93
2012,"Rolling Hills",33,73
2012,"Shore Meadows",31,78
2012,"Shore Meadows",26,64
2012,"Shore Meadows",27,52
2012,"Shore Meadows",28,47
2012,"Shore Meadows",29,62
2012,"Shore Meadows",30,62
2012,"Shore Meadows",33,55
2012,"Shore Meadows",34,47
2012,"Swantown",26,31
2012,"Swantown",29,19
2012,"Swantown",30,21
2012,"Swantown",31,18
2012,"Swantown",32,18
2013,"Cliffside",26,15
2013,"Cliffside",29,17
2013,"Cliffside",31,21
2013,"Cliffside",32,26
2013,"Cliffside",33,29
2013,"Coupeville Wharf",27,9
2013,"Coupeville Wharf",28,8
2013,"Coupeville Wharf",29,11
2013,"Coupeville Wharf",30,11
2013,"Coupeville Wharf",31,15
2013,"Coupeville Wharf",32,12
2013,"Coupeville Wharf",33,10
2013,"Double Bluff North",26,45
2013,"Double Bluff North",27,61
2013,"Double Bluff North",28,45
2013,"Double Bluff North",29,40
2013,"Double Bluff North",30,42
2013,"Double Bluff North",31,40
2013,"Double Bluff North",32,61
2013,"Double Bluff North",33,42
2013,"Double Bluff South",27,20
2013,"Double Bluff South",28,18
2013,"Double Bluff South",29,20
2013,"Double Bluff South",31,19
2013,"Forbes Point",26,15
2013,"Forbes Point",28,19
2013,"Forbes Point",30,23
2013,"Forbes Point",31,17
2013,"Forbes Point",32,26
2013,"Fort Casey",25,57
2013,"Fort Casey",28,54
2013,"Fort Casey",29,45
2013,"Fort Casey",30,30
2013,"Fort Casey",32,41
2013,"Fort Casey",33,30
2013,"Hancock Lake",26,69
2013,"Hancock Lake",27,71
2013,"Hancock Lake",28,72
2013,"Hancock Lake",29,75
2013,"Hancock Lake",30,74
2013,"Hancock Lake",32,64
2013,"Hancock Lake",34,61
2013,"Harrington North",26,10
2013,"Harrington North",28,14
2013,"Harrington North",30,15
2013,"Harrington North",31,20
2013,"Harrington North",32,13
2013,"Harrington South",26,9
2013,"Harrington South",27,9
2013,"Harrington South",27,8
2013,"Harrington South",29,12
2013,"Harrington South",30,11
2013,"Harrington South",31,14
2013,"Harrington South",32,12
2013,"Harrington South",33,13
2013,"Harrington South",34,8
2013,"Hastie Lake",26,20
2013,"Hastie Lake",27,13
2013,"Hastie Lake",28,26
2013,"Hastie Lake",29,19
2013,"Hastie Lake",30,13
2013,"Hastie Lake",31,15
2013,"Hastie Lake",33,20
2013,"Hastie Lake North",26,21
2013,"Hastie Lake North",28,17
2013,"Hastie Lake North",29,17
2013,"Hastie Lake North",30,17
2013,"Hastie Lake North",32,15
2013,"Hastie Lake North",34,11
2013,"Keystone",26,43
2013,"Keystone",27,47
2013,"Keystone",28,37
2013,"Keystone",29,47
2013,"Keystone",30,38
2013,"Keystone",31,42
2013,"Keystone",32,55
2013,"Lagoon North #1",26,75
2013,"Lagoon North #1",27,85
2013,"Lagoon North #1",28,86
2013,"Lagoon North #1",29,77
2013,"Lagoon North #1",30,86
2013,"Lagoon North #1",31,72
2013,"Lagoon North #1",32,61
2013,"Lagoon North #2",28,14
2013,"Lagoon North #2",29,17
2013,"Lagoon North #2",30,14
2013,"Lagoon North #2",31,14
2013,"Lagoon North #2",32,21
2013,"Lagoon North #3",26,12
2013,"Lagoon North #3",27,14
2013,"Lagoon North #3",28,11
2013,"Lagoon North #3",29,18
2013,"Lagoon North #3",30,17
2013,"Lagoon North #3",31,9
2013,"Lagoon North #3",33,14
2013,"Lagoon South",31,41
2013,"Lagoon South",32,45
2013,"Lagoon South",33,40
2013,"Lagoon South",27,30
2013,"Lagoon South",28,47
2013,"Lagoon South",29,43
2013,"Ledgewood",26,29
2013,"Ledgewood",27,26
2013,"Ledgewood",28,35
2013,"Ledgewood",29,38
2013,"Ledgewood",30,33
2013,"Ledgewood",31,38
2013,"Ledgewood",32,40
2013,"Ledgewood",33,28
2013,"Ledgewood",34,21
2013,"Limpet Lane",26,16
2013,"Limpet Lane",28,31
2013,"Limpet Lane",30,16
2013,"Malmo Bluff",26,35
2013,"Malmo Bluff",27,40
2013,"Malmo Bluff",28,43
2013,"Malmo Bluff",29,39
2013,"Malmo Bluff",30,47
2013,"Malmo Bluff",31,27
2013,"Malmo Bluff",32,35
2013,"Malmo Bluff",33,35
2013,"Maylor Point",28,24
2013,"Maylor Point",31,13
2013,"Monroe Landing",28,9
2013,"Monroe Landing",29,9
2013,"Monroe Landing",30,16
2013,"Monroe Landing",31,12
2013,"Monroe Landing",32,12
2013,"Monroe Landing",33,16
2013,"Mutiny Sands",26,20
2013,"Mutiny Sands",28,28
2013,"Mutiny Sands",30,28
2013,"Mutiny Sands",31,32
2013,"Mutiny Sands",32,24
2013,"Mutiny Sands",34,34
2013,"Possession Point",25,18
2013,"Possession Point",26,29
2013,"Possession Point",27,23
2013,"Possession Point",29,33
2013,"Possession Point",30,25
2013,"Possession Point",32,33
2013,"Pratts Bluff",26,25
2013,"Pratts Bluff",27,36
2013,"Pratts Bluff",28,26
2013,"Pratts Bluff",30,43
2013,"Pratts Bluff",32,30
2013,"Rolling Hills",26,69
2013,"Rolling Hills",27,78
2013,"Rolling Hills",28,62
2013,"Rolling Hills",29,68
2013,"Rolling Hills",30,60
2013,"Rolling Hills",31,94
2013,"Rolling Hills",32,89
2013,"Rolling Hills",33,70
2013,"Shore Meadows",26,48
2013,"Shore Meadows",27,36
2013,"Shore Meadows",28,57
2013,"Shore Meadows",29,69
2013,"Shore Meadows",30,67
2013,"Shore Meadows",31,67
2013,"Shore Meadows",32,59
2013,"Shore Meadows",33,52
2013,"Swantown",26,17
2013,"Swantown",28,21
2013,"Swantown",31,11
2013,"Swantown",32,22
2014,"Cliffside",25,39
2014,"Double Bluff North",25,52
2014,"Double Bluff North",27,63
2014,"Double Bluff North",29,71
2014,"Double Bluff North",31,80
2014,"Double Bluff North",33,63
2014,"Double Bluff South",27,8
2014,"Double Bluff South",29,13
2014,"Double Bluff South",30,16
2014,"Double Bluff South",31,13
2014,"Double Bluff South",32,13
2014,"Forbes Point",30,18
2014,"Forbes Point",31,13
2014,"Forbes Point",32,20
2014,"Forbes Point",33,19
2014,"Fort Casey",25,40
2014,"Fort Casey",26,35
2014,"Fort Casey",27,36
2014,"Fort Casey",28,26
2014,"Fort Casey",29,32
2014,"Fort Casey",30,35
2014,"Fort Casey",31,40
2014,"Fort Casey",32,44
2014,"Fort Casey",33,36
2014,"Hancock Lake",25,63
2014,"Hancock Lake",26,60
2014,"Hancock Lake",28,42
2014,"Hancock Lake",29,67
2014,"Hancock Lake",30,57
2014,"Hancock Lake",31,67
2014,"Hancock Lake",32,70
2014,"Harrington North",25,26
2014,"Harrington North",28,13
2014,"Harrington North",31,20
2014,"Harrington South",25,23
2014,"Harrington South",27,13
2014,"Harrington South",28,13
2014,"Harrington South",28,15
2014,"Harrington South",31,17
2014,"Harrington South",32,18
2014,"Harrington South",33,14
2014,"Hastie Lake",25,18
2014,"Hastie Lake",27,16
2014,"Hastie Lake",29,19
2014,"Hastie Lake",30,24
2014,"Hastie Lake",31,29
2014,"Hastie Lake",32,22
2014,"Hastie Lake",33,21
2014,"Hastie Lake North",25,21
2014,"Hastie Lake North",27,21
2014,"Hastie Lake North",29,16
2014,"Keystone",25,47
2014,"Keystone",26,46
2014,"Keystone",27,44
2014,"Keystone",28,50
2014,"Keystone",29,30
2014,"Keystone",30,33
2014,"Keystone",31,49
2014,"Keystone",32,27
2014,"Keystone",33,40
2014,"Lagoon North #1",25,66
2014,"Lagoon North #1",26,66
2014,"Lagoon North #1",28,71
2014,"Lagoon North #1",29,67
2014,"Lagoon North #1",31,66
2014,"Lagoon North #1",33,62
2014,"Lagoon North #2",25,12
2014,"Lagoon North #2",27,14
2014,"Lagoon North #2",28,20
2014,"Lagoon North #3",28,33
2014,"Lagoon North #3",29,50
2014,"Lagoon North #3",32,30
2014,"Lagoon South",25,35
2014,"Lagoon South",27,29
2014,"Lagoon South",29,38
2014,"Lagoon South",31,41
2014,"Lagoon South",33,25
2014,"Ledgewood",25,47
2014,"Ledgewood",26,47
2014,"Ledgewood",27,38
2014,"Ledgewood",29,45
2014,"Ledgewood",30,27
2014,"Ledgewood",31,47
2014,"Ledgewood",32,47
2014,"Ledgewood",33,33
2014,"Ledgewood",34,29
2014,"Malmo Bluff",25,35
2014,"Malmo Bluff",26,24
2014,"Malmo Bluff",27,34
2014,"Malmo Bluff",28,27
2014,"Malmo Bluff",29,27
2014,"Malmo Bluff",30,39
2014,"Malmo Bluff",31,39
