region,site,date,start_time,PG_count,count_type,intern_data
Whidbey,Rolling Hills,8/1/12,,8,pg,on
Whidbey,Rolling Hills,8/1/12,,1,pg,on
Whidbey,Rolling Hills,8/1/12,,1,pg,on
Whidbey,Rolling Hills,8/1/12,,2,pg,on
Whidbey,Rolling Hills,8/11/12,,0,pg,on
Whidbey,Rolling Hills,8/11/12,,4,pg,on
Whidbey,Rolling Hills,8/11/12,,14,pg,on
Whidbey,Rolling Hills,8/11/12,,2,pg,on
Whidbey,Rolling Hills,8/11/12,,27,pg,on
Whidbey,Rolling Hills,8/11/12,,25,pg,on
Whidbey,Rolling Hills,8/11/12,,21,pg,on
Whidbey,Rolling Hills,8/11/12,,26,pg,on
Whidbey,Rolling Hills,8/11/12,,27,pg,on
Whidbey,Rolling Hills,8/11/12,,8,pg,on
Whidbey,Rolling Hills,8/15/12,,18,pg,on
Whidbey,Rolling Hills,8/15/12,,30,pg,on
Whidbey,Rolling Hills,8/15/12,,26,pg,on
Whidbey,Rolling Hills,8/15/12,,37,pg,on
Whidbey,Rolling Hills,8/15/12,,23,pg,on
Whidbey,Rolling Hills,8/15/12,,17,pg,on
Whidbey,Rolling Hills,8/15/12,,10,pg,on
Whidbey,Rolling Hills,8/15/12,,1,pg,on
Whidbey,Rolling Hills,8/15/12,,2,pg,on
Whidbey,Rolling Hills,8/15/12,,2,pg,on
Whidbey,Rolling Hills,8/15/12,,5,pg,on
Whidbey,Rolling Hills,8/22/12,,0,pg,on
Whidbey,Rolling Hills,8/22/12,,4,pg,on
Whidbey,Rolling Hills,8/22/12,,1,pg,on
Whidbey,Rolling Hills,8/22/12,,2,pg,on
Whidbey,Rolling Hills,8/22/12,,1,pg,on
Whidbey,Rolling Hills,8/22/12,,2,pg,on
Whidbey,Rolling Hills,8/22/12,,0,pg,on
Whidbey,Rolling Hills,8/22/12,,0,pg,on
Whidbey,Rolling Hills,8/22/12,,2,pg,on
Whidbey,Rolling Hills,8/22/12,,0,pg,on
Whidbey,Rolling Hills,6/17/11,,39,pg,on
Whidbey,Rolling Hills,6/17/11,,29,pg,on
